World Wide Web,/sourceid/14965?origin=resultslist,World Wide Web,2017,1.8900
World Wide Web,/sourceid/14965?origin=resultslist,World Wide Web,2016,1.8600
World Wide Web,/sourceid/14965?origin=resultslist,World Wide Web,2015,1.5400
World Wide Web,/sourceid/14965?origin=resultslist,World Wide Web,2014,1.4100
World Wide Web,/sourceid/14965?origin=resultslist,World Wide Web,2013,1.9300
World Wide Web,/sourceid/14965?origin=resultslist,World Wide Web,2012,2.1500
World Wide Web,/sourceid/14965?origin=resultslist,World Wide Web,2011,1.4100
international syposium on methodologies for intelligent systems,/sourceid/25674?origin=resultslist,Lecture Notes in Computer Science,2017,0.9000
international syposium on methodologies for intelligent systems,/sourceid/25674?origin=resultslist,Lecture Notes in Computer Science,2016,0.6700
international syposium on methodologies for intelligent systems,/sourceid/25674?origin=resultslist,Lecture Notes in Computer Science,2015,0.3700
international syposium on methodologies for intelligent systems,/sourceid/25674?origin=resultslist,Lecture Notes in Computer Science,2014,0.4200
international syposium on methodologies for intelligent systems,/sourceid/25674?origin=resultslist,Lecture Notes in Computer Science,2013,0.4900
international syposium on methodologies for intelligent systems,/sourceid/25674?origin=resultslist,Lecture Notes in Computer Science,2012,0.4900
international syposium on methodologies for intelligent systems,/sourceid/25674?origin=resultslist,Lecture Notes in Computer Science,2011,0.4900
IEEE Transactions on Multimedia,/sourceid/16211?origin=resultslist,IEEE Transactions on Multimedia,2017,5.2400
IEEE Transactions on Multimedia,/sourceid/16211?origin=resultslist,IEEE Transactions on Multimedia,2016,5.4000
IEEE Transactions on Multimedia,/sourceid/16211?origin=resultslist,IEEE Transactions on Multimedia,2015,4.4200
IEEE Transactions on Multimedia,/sourceid/16211?origin=resultslist,IEEE Transactions on Multimedia,2014,3.9300
IEEE Transactions on Multimedia,/sourceid/16211?origin=resultslist,IEEE Transactions on Multimedia,2013,4.0300
IEEE Transactions on Multimedia,/sourceid/16211?origin=resultslist,IEEE Transactions on Multimedia,2012,3.7500
IEEE Transactions on Multimedia,/sourceid/16211?origin=resultslist,IEEE Transactions on Multimedia,2011,3.4300
web age information management,/sourceid/25674?origin=resultslist,Lecture Notes in Computer Science,2017,0.9000
web age information management,/sourceid/25674?origin=resultslist,Lecture Notes in Computer Science,2016,0.6700
web age information management,/sourceid/25674?origin=resultslist,Lecture Notes in Computer Science,2015,0.3700
web age information management,/sourceid/25674?origin=resultslist,Lecture Notes in Computer Science,2014,0.4200
web age information management,/sourceid/25674?origin=resultslist,Lecture Notes in Computer Science,2013,0.4900
web age information management,/sourceid/25674?origin=resultslist,Lecture Notes in Computer Science,2012,0.4900
web age information management,/sourceid/25674?origin=resultslist,Lecture Notes in Computer Science,2011,0.4900
